1780,-3.20465861425712e+19
1781,3.27972791291158e+19
1782,3.32664709384331e+19
1783,-4.90191273150294e+19
1784,-6.41927531002608e+19
1785,-5.55628058166134e+18
1786,-3.66213421118148e+19
1787,-3.94142101076e+19
1788,-4.59323244752776e+19
1789,-1.71678753119759e+19
1790,-3.51609206228054e+19
1791,9.39803837857364e+18
1792,-7.55829980783581e+18
1793,-2.43951812577855e+19
1794,-2.45873478610679e+19
1795,-2.42342680228108e+19
1796,-5.37446619938338e+19
1797,-8.02320092403745e+19
1798,-3.12865521652356e+19
1799,7.34620677224657e+18
1800,-4.81016109040572e+19
1801,4.93200802839447e+18
1802,6.81284299892767e+18
1803,-6.20036121619356e+19
1804,-7.6634732334073e+19
1805,-1.46565892283774e+19
1806,-4.36661484721753e+19
1807,-4.92520823821526e+19
1808,-5.73743827401238e+19
1809,-2.88938912272022e+19
1810,-4.17010360654783e+19
1811,2.01254404870625e+18
1812,-3.83591627891003e+18
1813,-2.5417704840642e+19
1814,-2.22756686333222e+19
1815,-2.48322877972966e+19
1816,-4.85018748164267e+19
1817,-7.22649958104078e+19
1818,-1.77663660538822e+19
1819,2.99170864348732e+19
1820,-3.69816762976119e+19
1821,2.4389795377719e+19
1822,2.31525865506631e+19
1823,-4.20619934434911e+19
1824,-5.31482375277004e+19
1825,-7.90784849614087e+18
1826,-3.22963042744529e+19
1827,-4.10078330218461e+19
1828,-4.15755817235413e+19
1829,-9.45178918629981e+18
1830,-2.78467656607999e+19
1831,1.29081907255656e+19
1832,5.75935230080081e+18
1833,-1.30848944749692e+19
1834,1.32205460915473e+18
1835,-1.42339381929091e+19
1836,-3.90385272900639e+19
1837,-5.7973973814551e+19
1838,-1.16047855497809e+19
1839,2.30650470518965e+19
1840,-3.84155971338302e+19
1841,3.31706832391853e+19
1842,2.49774728317985e+19
1843,-5.47419237727671e+19
1844,-6.4724450539146e+19
1845,-7.25068268461577e+18
1846,-3.68576654810594e+19
1847,-4.9552811114052e+19
1848,-5.44714749394837e+19
1849,-2.24282410032661e+19
1850,2.29290473552457e+19
1851,6.07004596588592e+19
1852,5.57988311940417e+19
1853,3.94963341421266e+19
1854,4.7226639028907e+19
1855,4.54749267038649e+19
1856,2.14802020134582e+19
1857,-6.11406420977154e+18
1858,4.1232780083181e+19
1859,8.87766499900803e+19
1860,2.6710099078256e+19
1861,9.1191427104416e+19
1862,9.01130460448092e+19
1863,2.49422589921878e+19
1864,4.28652614735151e+18
1865,6.00884979170103e+19
1866,3.10814358621257e+19
1867,1.60327985343655e+19
1868,1.37951812886908e+19
1869,4.13860903564624e+19
1870,2.80619208981261e+19
1871,8.35034332555252e+19
1872,6.9606063588352e+19
1873,5.27081117027877e+19
1874,5.10923570661275e+19
1875,5.35316785468729e+19
1876,2.67447965502606e+19
1877,4.14543711101321e+17
1878,5.73199724682252e+19
1879,9.42371220916008e+19
1880,2.63508599372021e+19
1881,9.10616295596786e+19
1882,1.023596015381e+20
1883,2.93406787703465e+19
1884,1.44069872880773e+19
1885,6.9235675134976e+19
1886,3.87486298520982e+19
1887,3.0041191760387e+19
1888,2.19284970172636e+19
1889,4.94247969519975e+19
1890,4.48579272372309e+19
1891,9.60272831615558e+19
1892,8.38061534768363e+19
1893,6.24318486297814e+19
1894,7.2900234158514e+19
1895,6.81072667797198e+19
1896,3.21945949979269e+19
1897,2.16719635973283e+19
1898,6.70048993157167e+19
1899,1.18409300665393e+20
1900,5.61406550654163e+19
1901,1.21272073799864e+20
1902,1.4714729844999e+20
1903,5.42261459037474e+19
1904,3.15601685375281e+19
1905,1.21561392317221e+20
1906,6.99842933470752e+19
1907,6.91848901873716e+19
1908,7.48395867024569e+19
1909,1.05994328896129e+20
1910,8.65452766043624e+19
1911,1.39483999301609e+20
1912,1.3312692117234e+20
1913,1.15511625276399e+20
1914,1.04201793046769e+20
1915,1.17140036517015e+20
1916,8.878488681634e+19
1917,4.8332553561855e+19
1918,1.10564845577563e+20
1919,1.60346607596573e+20
1920,8.21510926331696e+19
1921,8.78857010826509e+19
1922,1.28388825137415e+20
1923,1.0800071005507e+20
1924,1.4258875125174e+20
1925,1.23575769277641e+20
1926,1.61836317177672e+20
1927,1.16873474026048e+20
1928,1.58753137322751e+20
1929,1.55292472472666e+20
1930,1.49172308579479e+20
1931,1.93669121135596e+20
1932,1.41124296931154e+20
1933,1.39836173987685e+20
1934,1.3288772052287e+20
1935,1.61137591629637e+20
1936,1.85276771895007e+20
1937,1.7823133435058e+20
1938,1.65157798002661e+20
1939,1.31124739028766e+20
1940,1.56024671407857e+20
1941,2.08851402787702e+20
1942,1.66551658458761e+20
1943,1.6044888064253e+20
1944,2.32173380455094e+20
1945,1.70740842800394e+20
1946,1.90775324733657e+20
1947,1.45097026133251e+20
1948,1.67820064900061e+20
1949,1.94018727537345e+20
1950,1.15263524875372e+20
1951,2.24015219277608e+20
1952,2.82573698317578e+20
1953,2.03310713100162e+20
1954,2.18587693688618e+20
